===== TRADE LOG DETAIL =====

Action  Symbol   Date              Price     Quantity        Value (VND)          PnL (VND)      PnL%%
BUY     GAS      2023-03-28        71.44         1427        101,944,882                  0      0.00%
SELL    GAS      2023-05-17        63.31         1427         90,343,375        -11,601,512    -11.38%
BUY     GAS      2023-07-04        65.51         1379         90,338,289                  0      0.00%
SELL    GAS      2023-07-12        66.48         1379         91,675,921          1,337,631      1.48%
BUY     GAS      2023-07-28        68.54         1338         91,706,523                  0      0.00%
SELL    GAS      2023-08-02        69.16         1338         92,536,085            829,563      0.90%
BUY     GAS      2023-08-22        69.09         1339         92,511,507                  0      0.00%
SELL    GAS      2023-08-30        70.88         1339         94,908,312          2,396,811      2.59%
BUY     GAS      2023-09-28        78.38         1211         94,918,179                  0      0.00%
SELL    GAS      2023-11-10        67.41         1211         81,633,515        -13,284,662    -14.00%
BUY     GAS      2023-12-22        63.99         1276         81,651,242                  0      0.00%
SELL    GAS      2023-12-29        64.67         1276         82,518,914            867,675      1.06%
BUY     GAS      2024-04-01        69.04         1195         82,502,804                  0      0.00%
SELL    GAS      2024-04-04        69.81         1195         83,422,945            920,146      1.12%
BUY     GAS      2024-04-12        68.27         1222         83,425,937                  0      0.00%
SELL    GAS      2024-05-10        64.67         1222         79,026,734         -4,399,198     -5.27%
BUY     GAS      2024-06-21        66.73         1184         79,008,320                  0      0.00%
SELL    GAS      2024-07-10        67.24         1184         79,612,156            603,833      0.76%
BUY     GAS      2024-07-26        66.13         1204         79,620,515                  0      0.00%
SELL    GAS      2024-08-05        65.53         1204         78,898,117           -722,398     -0.91%
BUY     GAS      2024-09-06        72.04         1095         78,883,804                  0      0.00%
BUY     GAS      2024-09-19        69.09            1             69,089                  0      0.00%
SELL    GAS      2024-10-15        68.43         1095         74,930,851         -3,952,950     -5.01%
BUY     GAS      2024-10-21        67.49         1110         74,913,898                  0      0.00%
SELL    GAS      2024-11-13        65.42            1             65,419             -3,669     -5.31%
BUY     GAS      2024-11-18        64.95            1             64,949                  0      0.00%
SELL    GAS      2024-12-02        65.14         1110         72,305,398         -2,608,498     -3.48%
SELL    GAS      2024-12-03        64.67            1             64,669               -279     -0.43%
BUY     GAS      2025-01-14        62.97         1149         72,352,531                  0      0.00%
SELL    GAS      2025-01-22        62.88         1149         72,249,125           -103,410     -0.14%
BUY     GAS      2025-03-12        63.91         1131         72,282,210                  0      0.00%
SELL    GAS      2025-03-20        64.57         1131         73,028,671            746,459      1.03%
BUY     GAS      2025-04-01        63.54         1149         73,007,460                  0      0.00%
SELL    GAS      2025-05-13        58.36         1149         67,055,640         -5,951,820     -8.15%
BUY     GAS      2025-06-13        60.62         1106         67,045,718                  0      0.00%
SELL    GAS      2025-06-20        65.42         1106         72,354,515          5,308,799      7.92%
BUY     GAS      2025-07-07        62.60         1156         72,365,601                  0      0.00%
SELL    GAS      2025-08-13        65.89         1156         76,168,835          3,803,241      5.26%
BUY     GAS      2025-08-26        65.42         1164         76,148,875                  0      0.00%
SELL    GAS      2025-10-14        60.00         1164         69,840,000         -6,308,878     -8.28%
BUY     GAS      2025-10-22        59.00         1184         69,856,000                  0      0.00%
SELL    GAS      2025-11-04        60.50         1184         71,632,000          1,776,000      2.54%
BUY     GAS      2025-11-26        62.00         1155         71,610,000                  0      0.00%
SELL    GAS      2025-12-03        64.50         1155         74,497,500          2,887,500      4.03%
BUY     GAS      2025-12-16        64.30         1159         74,523,703                  0      0.00%
SELL    GAS      2025-12-31        72.40         1159         83,911,601          9,387,898     12.60%
BUY     GVR      2023-01-11        13.91         7189         99,998,992                  0      0.00%
SELL    GVR      2023-01-30        15.83         7189        113,801,867         13,802,881     13.80%
BUY     GVR      2023-02-15        13.91         8181        113,797,710                  0      0.00%
SELL    GVR      2023-03-14        13.72         8181        112,243,320         -1,554,386     -1.37%
BUY     GVR      2023-04-24        14.68         7646        112,243,281                  0      0.00%
SELL    GVR      2023-05-15        15.50         7646        118,513,000          6,269,718      5.59%
BUY     GVR      2023-05-19        15.59         7602        118,515,179                  0      0.00%
SELL    GVR      2023-06-05        17.61         7602        133,871,218         15,356,044     12.96%
BUY     GVR      2023-06-20        18.04         7420        133,856,812                  0      0.00%
SELL    GVR      2023-06-23        18.23         7420        135,266,593          1,409,789      1.05%
BUY     GVR      2023-07-24        21.30         6351        135,276,296                  0      0.00%
SELL    GVR      2023-09-11        20.87         6351        132,545,375         -2,730,920     -2.02%
